,Название улицы/поселения,Район
0,60-летия Октября проспект,Академический
1,Большая Черёмушкинская улица,Академический
2,Вавилова улица,Академический
3,Винокурова улица,Академический
4,Гримау улица,Академический
5,Губкина улица,Академический
6,Дмитрия Ульянова улица,Академический
7,Ивана Бабушкина улица,Академический
8,Иосипа Броз Тито площадь,Академический
9,Карьер улица,Академический
10,Кедрова улица,Академический
11,Кржижановского улица,Академический
12,Львова улица,Академический
13,Нахимовский проспект,Академический
14,Новочерёмушкинская улица,Академический
15,Профсоюзная улица,Академический
16,Ферсмана улица,Академический
17,Хо Ши Мина площадь,Академический
18,Черёмушкинский проезд,Академический
19,Шверника улица,Академический
0,Академика Люльки площадь,Алексеевский
1,Бориса Галушкина улица,Алексеевский
2,Графский переулок,Алексеевский
3,Дроболитейный переулок,Алексеевский
4,Зубарев переулок,Алексеевский
5,Касаткина улица,Алексеевский
6,Кибальчича улица,Алексеевский
7,Константинова улица,Алексеевский
8,Космонавтов улица,Алексеевский
9,Кулаков переулок,Алексеевский
10,Кучин переулок,Алексеевский
11,Маломосковская улица,Алексеевский
12,Мира проспект,Алексеевский
13,Мытищинская 1-я улица,Алексеевский
14,Мытищинская 2-я улица,Алексеевский
15,Мытищинская 3-я улица,Алексеевский
16,Мытищинский проезд,Алексеевский
17,Николаевский тупик,Алексеевский
18,Новоалексеевская улица,Алексеевский
19,Павла Корчагина улица,Алексеевский
20,Ракетный бульвар,Алексеевский
21,Рижский 1-й переулок,Алексеевский
22,Рижский проезд,Алексеевский
23,Староалексеевская улица,Алексеевский
24,Церковная Горка улица,Алексеевский
25,Шарля Де Голля площадь,Алексеевский
26,Ярославская улица,Алексеевский
0,Алтуфьевское шоссе,Алтуфьевский
1,Бегичева улица,Алтуфьевский
2,Бибиревская улица,Алтуфьевский
3,Инженерная улица,Алтуфьевский
4,Костромская улица,Алтуфьевский
5,Поморская улица,Алтуфьевский
6,Проектируемый проезд N 4251,Алтуфьевский
7,Путевой проезд,Алтуфьевский
8,Стандартная улица,Алтуфьевский
9,Черского проезд,Алтуфьевский
0,Арбат улица,Арбат
1,Арбатская площадь,Арбат
2,Арбатские Ворота площадь,Арбат
3,Арбатский переулок,Арбат
4,Большая Молчановка улица,Арбат
5,Большая Никитская улица,Арбат
6,Большой Афанасьевский переулок,Арбат
7,Большой Девятинский переулок,Арбат
8,Большой Знаменский переулок,Арбат
9,Большой Кисловский переулок,Арбат
10,Большой Николопесковский переулок,Арбат
11,Большой Ржевский переулок,Арбат
12,Борисоглебский переулок,Арбат
13,Бородинский мост,Арбат
14,Воздвиженка улица,Арбат
15,Глазовский переулок,Арбат
16,Гоголевский бульвар,Арбат
17,Денежный переулок,Арбат
18,Знаменка улица,Арбат
19,Калашный переулок,Арбат
20,Калошин переулок,Арбат
21,Каменная Слобода переулок,Арбат
22,Карманицкий переулок,Арбат
23,Колымажный переулок,Арбат
24,Композиторская улица,Арбат
25,Конюшковская улица,Арбат
26,Крестовоздвиженский переулок,Арбат
27,Кривоарбатский переулок,Арбат
28,Кривоникольский переулок,Арбат
29,Малая Молчановка улица,Арбат
30,Малый Афанасьевский переулок,Арбат
31,Малый Каковинский переулок,Арбат
32,Малый Николопесковский переулок,Арбат
33,Малый Новопесковский переулок,Арбат
34,Малый Ржевский переулок,Арбат
35,Мерзляковский переулок,Арбат
36,Моховая улица,Арбат
37,Нижний Кисловский переулок,Арбат
38,Никитский бульвар,Арбат
39,Николощеповский 1-й переулок,Арбат
40,Николощеповский 2-й переулок,Арбат
